Таны хүйс,Та хэддүгээр курсэд суралцдаг вэ?,1. Та өдөрт хэдэн цагийг замын түгжрэлд өнгөрүүлдэг вэ?,2. Танд замын түгжрэл хэр их нөлөөлдөг вэ?,3. Та ямар тээврийн хэрэгслээр зорчдог вэ?,4. Замын түгжрэлийг багасгахын тулд хувийн тээврийн хэрэгслийн оронд автобусаар зорчихыг дэмжих үү?,"5. Түгжрэл зохицуулах тэгш сондгой гэсэн шийдвэр хэр үр дүнтэй байсан бэ?
/1–ээс 10-ын хооронд үнэлнэ үү /","6. Замын цагдаагийн түгжрээ зохицуулалт хэр сайн нөлөөтэй вэ?
/1–ээс 10-ын хооронд үнэлнэ үү /",7. Түгжрэлд байхдаа ямар нэгэн сонирхолтой эсвэл өөрийнхөө мэдлэгийг тэлэх зүйл хийхийг хүсдэг үү?,8. Та аль дүүргүүдийн замаар ихэвчлэн явдаг вэ?,9. Долоон хоногт хэдий хэмжээний төгрөгт бензин хийдэг вэ?,"10.  Түгжрэлээс үүдэн хэр их стрессддэг вэ?
/1-10 хооронд үнэлнэ үү/"
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,4,6,Тийм,Баянзүрх,80000,9
Эрэгтэй,II курс,5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,0,0,Тийм,"Баянзүрх, Чингэлтэй, Хан-Уул",0,10
Эрэгтэй,II курс,1,Бага зэрэг нөлөөлдөг,Явган,Үгүй,1,3,Тийм,"Баянзүрх, Чингэлтэй",0,7
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,5,Тийм,"Баянгол, Чингэлтэй",0,8
Эмэгтэй,II курс,5,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Тийм,5,5,Тийм,Баянзүрх,0,10
Эрэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,2,4,Тийм,"Баянгол, Баянзүрх",0,5
Эрэгтэй,II курс,3,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,6,Үгүй,"Баянзүрх, Хан-Уул",70000,8
Эмэгтэй,II курс,0,Бараг нөлөөлдөггүй,Явган,Үгүй,6,10,Сайн мэдэхгүй,Баянзүрх,0,0
Эрэгтэй,II курс,0.25,Бага зэрэг нөлөөлдөг,Явган,Тийм,10,5,Сайн мэдэхгүй,Баянзүрх,0,8
Эрэгтэй,II курс,0,Бараг нөлөөлдөггүй,Явган,Тийм,3,7,Тийм,Баянзүрх,0,0
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,2,4,Тийм,Баянзүрх,0,7
Эмэгтэй,II курс,1,Бараг нөлөөлдөггүй,Явган,Сайн мэдэхгүй,10,6,Тийм,Баянзүрх,0,6
Эмэгтэй,II курс,5,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,6,Тийм,Хан-Уул,55000,8
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,4,7,Үгүй,"Баянзүрх, Хан-Уул",55000,8
Эмэгтэй,II курс,1,Бага зэрэг нөлөөлдөг,Явган,Тийм,5,8,Тийм,"Баянзүрх, Хан-Уул",0,10
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,6,3,Үгүй,Баянзүрх,20000,9
Эрэгтэй,II курс,3,Маш их нөлөөлдөг,Явган,Тийм,10,8,Тийм,"Баянзүрх, Хан-Уул",200000,10
Эрэгтэй,II курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,1,Тийм,Хан-Уул,0,9
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,7,Үгүй,Баянзүрх,0,7
Эрэгтэй,II курс,2,Бага зэрэг нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,8,0,Үгүй,"Баянгол, Баянзүрх",0,5
Эмэгтэй,IV курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,6,8,Үгүй,Баянгол,0,7
Эрэгтэй,III курс,1.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,5,Тийм,"Баянгол, Баянзүрх",0,10
Эмэгтэй,II курс,3,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,5,Тийм,"Баянгол, Баянзүрх",0,7
Эрэгтэй,II курс,1,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,2,Тийм,Хан-Уул,30000,9
Эмэгтэй,II курс,10,Бага зэрэг нөлөөлдөг,Явган,Үгүй,1,1,Үгүй,Чингэлтэй,0,4
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,7,Сайн мэдэхгүй,"Баянгол, Баянзүрх, Чингэлтэй",0,10
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,5,6,Үгүй,"Баянгол, Баянзүрх, Чингэлтэй",20000,9
Эрэгтэй,II курс,1,Ер нь л нөлөөлдөг,Явган,Үгүй,7,5,Тийм,Хан-Уул,50000,7
Эрэгтэй,I курс,0,Бараг нөлөөлдөггүй,Явган,Тийм,7,3,Сайн мэдэхгүй,"Баянзүрх, Хан-Уул",0,10
Эмэгтэй,II курс,2.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Тийм,"Баянзүрх, Сонгино хайрхан",20000,8
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Тийм,"Баянгол, Чингэлтэй",0,8
Эмэгтэй,II курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,Баянзүрх,0,8
Эмэгтэй,II курс,2.5,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,6,4,Үгүй,Хан-Уул,50000,5
Эмэгтэй,II курс,3,Бага зэрэг нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,9,3,Үгүй,Хан-Уул,70000,4
Эмэгтэй,II курс,5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Тийм,"Баянгол, Баянзүрх",0,10
Эрэгтэй,II курс,4,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,10,7,Тийм,"Баянзүрх, Хан-Уул",300000,10
Эмэгтэй,II курс,3,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,4,5,Тийм,"Баянзүрх, Хан-Уул",90000,9
Эрэгтэй,II курс,3,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,1,Тийм,"Баянгол, Хан-Уул",0,10
Эмэгтэй,II курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,8,7,Тийм,"Баянгол, Баянзүрх",0,8
Эмэгтэй,III курс,4,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,4,4,Тийм,"Баянгол, Сонгино хайрхан, Чингэлтэй",30000,3
Эмэгтэй,II курс,2.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,10,4,Тийм,"Баянгол, Сонгино хайрхан, Хан-Уул",0,8
Эмэгтэй,II курс,4,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,7,Тийм,Чингэлтэй,0,7
Эмэгтэй,II курс,4,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,2,Тийм,Баянзүрх,0,8
Эмэгтэй,II курс,2,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,7,Тийм,Хан-Уул,0,5
Эмэгтэй,II курс,0.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,Баянгол,0,5
Эрэгтэй,IV курс,4,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Тийм,8,9,Тийм,Чингэлтэй,50000,9
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,7,Тийм,"Баянгол, Чингэлтэй",0,7
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,1,4,Сайн мэдэхгүй,Баянгол,0,10
Эрэгтэй,II курс,0,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,6,Үгүй,"Баянгол, Хан-Уул",0,1
Эмэгтэй,I курс,0.5,Бага зэрэг нөлөөлдөг,Явган,Тийм,4,1,Тийм,Баянзүрх,0,10
Эрэгтэй,I курс,2,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,7,Үгүй,Баянзүрх,0,7
Эмэгтэй,III курс,0,Бараг нөлөөлдөггүй,Явган,Үгүй,2,5,Тийм,Баянзүрх,0,7
Эмэгтэй,II курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,10,10,Тийм,Хан-Уул,0,10
Эмэгтэй,II курс,0.8,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,8,6,Сайн мэдэхгүй,Хан-Уул,0,8
Эмэгтэй,III курс,0,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,8,Тийм,"Баянгол, Чингэлтэй",0,8
Эмэгтэй,I курс,3.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,8,8,Тийм,"Баянгол, Чингэлтэй",0,10
Эмэгтэй,I курс,1.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Тийм,Баянзүрх,0,5
Эрэгтэй,III курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,10,5,Тийм,Хан-Уул,0,10
Эмэгтэй,II курс,5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,4,Тийм,"Баянгол, Баянзүрх",0,10
Эмэгтэй,II курс,1,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,1,10,Тийм,Баянгол,0,5
Эрэгтэй,II курс,1.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,8,7,Тийм,Баянзүрх,0,6
Эмэгтэй,II курс,1.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,1,Үгүй,Баянзүрх,0,5
Эмэгтэй,V болон түүнээс дээш,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,1,4,Тийм,Сонгино хайрхан,0,8
Эмэгтэй,II курс,4,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,1,Үгүй,Баянзүрх,40000,8
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,"Баянзүрх, Сонгино хайрхан, Хан-Уул",0,6
Эрэгтэй,IV курс,0,Бараг нөлөөлдөггүй,Явган,Тийм,1,6,Сайн мэдэхгүй,Баянзүрх,0,1
Эмэгтэй,II курс,1,Бараг нөлөөлдөггүй,Явган,Тийм,4,4,Үгүй,Чингэлтэй,0,5
Эмэгтэй,II курс,3.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,10,4,Тийм,"Баянгол, Баянзүрх, Сонгино хайрхан, Чингэлтэй, Хан-Уул",0,10
Эмэгтэй,II курс,3.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,7,Тийм,Баянзүрх,0,9
Эмэгтэй,II курс,0.75,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,5,Тийм,Хан-Уул,0,3
Эрэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,8,4,Тийм,Баянзүрх,0,8
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,6,Үгүй,Баянзүрх,0,8
Эмэгтэй,II курс,2.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Үгүй,Хан-Уул,0,5
Эмэгтэй,III курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,6,3,Тийм,Баянзүрх,40000,10
Эрэгтэй,III курс,3,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,5,Тийм,Баянгол,60000,10
Эрэгтэй,IV курс,4,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,6,8,Үгүй,Баянзүрх,100000,10
Эрэгтэй,V болон түүнээс дээш,6,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,6,5,Тийм,"Баянгол, Хан-Уул",70000,10
Эмэгтэй,I курс,2.5,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,6,Үгүй,"Баянзүрх, Хан-Уул",60000,10
Эрэгтэй,II курс,1,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,3,3,Тийм,Хан-Уул,0,10
Эрэгтэй,IV курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,5,Сайн мэдэхгүй,Баянзүрх,50000,7
Эмэгтэй,I курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,10,1,Тийм,Баянзүрх,0,10
Эрэгтэй,IV курс,2,Бага зэрэг нөлөөлдөг,Явган,Тийм,3,4,Үгүй,,0,8
Эрэгтэй,IV курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,2,5,Тийм,"Баянгол, Баянзүрх",0,9
Эрэгтэй,IV курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,2,2,Тийм,"Баянгол, Баянзүрх, Сонгино хайрхан",120000,7
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,3,6,Үгүй,Чингэлтэй,0,8
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,2,Сайн мэдэхгүй,Баянзүрх,0,10
Эрэгтэй,III курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,4,7,Сайн мэдэхгүй,Хан-Уул,40000,9
Эмэгтэй,I курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,5,Тийм,Хан-Уул,0,8
Эмэгтэй,IV курс,1.5,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,8,Тийм,"Баянзүрх, Хан-Уул",0,7
Эмэгтэй,I курс,2,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,2,Тийм,Баянзүрх,30000,5
Эмэгтэй,II курс,3,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,1,1,Тийм,"Баянгол, Баянзүрх",0,10
Эмэгтэй,II курс,2.5,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,1,1,Тийм,"Баянгол, Баянзүрх",0,9
Эмэгтэй,III курс,0,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,3,8,Үгүй,"Баянгол, Хан-Уул",0,7
Эрэгтэй,IV курс,1,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,1,Тийм,Баянгол,3000,8
Эрэгтэй,IV курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,1,Тийм,Баянгол,4000,7
Эмэгтэй,I курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,"Баянгол, Баянзүрх, Чингэлтэй, Хан-Уул",0,10
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,3,Тийм,Баянзүрх,0,7
